TN,FN,TP,FP,sr
782.6435897435896,404.8025641025641,746.5820512820513,369.97179487179494,1
964.6333333333334,296.5153846153846,854.8692307692309,187.98205128205132,24
987.2205128205128,223.31282051282062,928.0717948717955,165.39487179487176,47
1009.6564102564103,201.73589743589744,949.6487179487182,142.95897435897436,70
1017.8717948717947,177.5153846153846,973.869230769231,134.7435897435897,93
1026.6974358974355,170.5948717948718,980.7897435897438,125.91794871794868,116
1029.7333333333333,153.0179487179487,998.3666666666666,122.88205128205132,139
1031.5538461538458,145.77179487179492,1005.6128205128206,121.06153846153845,162
1031.8666666666666,140.29230769230773,1011.0923076923075,120.748717948718,185
1035.097435897436,130.62051282051283,1020.764102564103,117.51794871794871,208
1035.8948717948717,132.6538461538462,1018.7307692307693,116.72051282051282,231
1039.9692307692308,128.2025641025641,1023.1820512820515,112.64615384615382,254
1041.823076923077,123.00000000000003,1028.3846153846155,110.79230769230773,277
1038.7589743589745,121.6102564102564,1029.7743589743586,113.85641025641027,300
1042.1128205128205,114.57435897435901,1036.8102564102564,110.50256410256414,323
1042.8102564102564,123.23076923076923,1028.153846153846,109.8051282051282,346
1046.7743589743588,117.32051282051282,1034.0641025641025,105.84102564102562,369
1043.9923076923076,115.08974358974356,1036.2948717948718,108.62307692307695,392
1046.3589743589746,112.65384615384617,1038.730769230769,106.25641025641028,415
1044.3564102564103,113.26410256410254,1038.1205128205127,108.25897435897437,438
1044.5230769230768,110.99230769230769,1040.3923076923077,108.09230769230768,461
1048.174358974359,112.34358974358973,1039.041025641026,104.44102564102565,484
1043.7871794871799,106.5153846153846,1044.869230769231,108.82820512820513,507
1048.7410256410255,108.23589743589741,1043.148717948718,103.87435897435897,530
1043.8974358974358,105.97692307692309,1045.407692307692,108.7179487179487,553
1047.7615384615383,106.84102564102562,1044.5435897435898,104.85384615384616,576
1049.3641025641025,106.8871794871795,1044.4974358974357,103.25128205128206,599
1050.4256410256407,106.92820512820515,1044.45641025641,102.1897435897436,622
1046.9256410256412,102.48974358974354,1048.8948717948724,105.6897435897436,645
1047.753846153846,102.4846153846154,1048.8999999999999,104.86153846153847,668
1048.7589743589742,107.8025641025641,1043.5820512820515,103.85641025641027,691
1048.1179487179488,101.74871794871797,1049.635897435897,104.4974358974359,714
1049.3692307692309,100.07179487179485,1051.3128205128207,103.24615384615387,737
1047.705128205128,102.51794871794873,1048.8666666666663,104.91025641025641,760
1047.5384615384614,99.65128205128207,1051.7333333333331,105.07692307692308,783
1049.1076923076923,101.07435897435897,1050.3102564102564,103.50769230769232,806
1049.648717948718,99.38205128205128,1052.002564102564,102.96666666666665,829
1051.8512820512817,102.09487179487179,1049.2897435897437,100.76410256410257,852
1050.4435897435899,100.73076923076923,1050.6538461538462,102.17179487179489,875
1048.805128205128,97.85897435897438,1053.5256410256409,103.81025641025643,898
1051.4641025641024,101.57692307692308,1049.8076923076922,101.15128205128205,921
1048.8025641025638,98.99487179487181,1052.3897435897431,103.81282051282054,944
1053.5282051282052,102.40769230769232,1048.976923076923,99.08717948717948,967
1046.074358974359,97.82051282051283,1053.5641025641025,106.54102564102566,990
1054.520512820513,103.29487179487181,1048.0897435897434,98.09487179487178,1013
1051.9666666666667,100.14615384615384,1051.2384615384617,100.64871794871792,1036
1053.030769230769,98.86666666666663,1052.517948717949,99.5846153846154,1059
1056.0461538461536,102.63333333333333,1048.751282051282,96.56923076923077,1082
1050.974358974359,97.4,1053.9846153846152,101.64102564102562,1105
1053.271794871795,100.04615384615384,1051.3384615384618,99.34358974358973,1128
1054.2871794871794,98.74871794871798,1052.6358974358973,98.32820512820513,1151
1051.7051282051282,98.76153846153848,1052.6230769230767,100.91025641025642,1174
1052.0435897435898,98.88974358974357,1052.494871794872,100.57179487179489,1197
1055.3820512820514,102.34615384615384,1049.0384615384617,97.23333333333329,1220
1052.297435897436,96.55384615384617,1054.830769230769,100.31794871794872,1243
1050.5358974358974,95.42820512820512,1055.9564102564104,102.07948717948716,1266
1053.6615384615384,95.84102564102564,1055.5435897435898,98.95384615384616,1289
1050.6051282051283,94.44102564102563,1056.9435897435899,102.0102564102564,1312
1054.125641025641,98.5820512820513,1052.802564102564,98.48974358974361,1335
1051.6820512820511,94.6897435897436,1056.6948717948717,100.93333333333334,1358
1054.3974358974358,93.6,1057.7846153846153,98.21794871794876,1381
1050.8307692307692,94.16153846153846,1057.223076923077,101.7846153846154,1404
1050.4717948717948,95.28717948717953,1056.0974358974352,102.14358974358973,1427
1053.805128205128,96.30512820512821,1055.0794871794874,98.8102564102564,1450
1053.0948717948718,95.98205128205127,1055.4025641025642,99.52051282051282,1473
1052.176923076923,95.33589743589744,1056.0487179487177,100.43846153846152,1496
1052.1487179487178,95.71025641025642,1055.674358974359,100.46666666666667,1519
1054.9820512820513,100.0846153846154,1051.2999999999995,97.63333333333331,1542
1055.5564102564103,98.63076923076925,1052.753846153846,97.05897435897437,1565
1055.3897435897436,94.29487179487178,1057.0897435897439,97.22564102564102,1588
1054.630769230769,94.26923076923077,1057.1153846153845,97.98461538461541,1611
1052.6871794871793,92.98717948717949,1058.3974358974358,99.92820512820514,1634
1051.7564102564102,91.8948717948718,1059.4897435897433,100.85897435897436,1657
1052.7820512820513,94.59999999999998,1056.7846153846158,99.83333333333334,1680
1052.1666666666665,94.33589743589744,1057.048717948718,100.44871794871794,1703
1051.5897435897436,93.36410256410257,1058.020512820513,101.02564102564104,1726
1053.5794871794872,94.57179487179485,1056.8128205128207,99.03589743589744,1749
1052.6307692307691,92.29230769230772,1059.0923076923073,99.98461538461538,1772
1055.1358974358973,92.98717948717949,1058.397435897436,97.4794871794872,1795
1053.8820512820514,94.43333333333335,1056.9512820512819,98.7333333333333,1818
1053.2871794871794,94.07692307692308,1057.3076923076924,99.32820512820511,1841
1052.525641025641,92.85384615384613,1058.5307692307692,100.08974358974358,1864
1054.5923076923077,96.5205128205128,1054.864102564103,98.02307692307694,1887
1050.702564102564,91.17179487179487,1060.2128205128204,101.91282051282053,1910
1055.523076923077,94.41025641025644,1056.974358974359,97.0923076923077,1933
1048.9435897435894,87.0897435897436,1064.2948717948714,103.67179487179487,1956
1057.1487179487178,94.8153846153846,1056.5692307692311,95.46666666666665,1979
1052.2923076923078,92.06666666666668,1059.3179487179484,100.32307692307693,2002
1056.576923076923,93.07435897435899,1058.3102564102564,96.03846153846155,2025
1053.1512820512821,91.75641025641023,1059.6282051282055,99.46410256410257,2048
1054.351282051282,93.58717948717948,1057.797435897436,98.26410256410259,2071
1053.8000000000002,88.63846153846156,1062.7461538461537,98.8153846153846,2094
1051.6666666666667,88.7230769230769,1062.6615384615386,100.94871794871796,2117
1053.3153846153848,89.47692307692309,1061.907692307692,99.29999999999998,2140
1050.5615384615382,88.15641025641024,1063.2282051282054,102.05384615384614,2163
1051.2923076923078,90.53076923076921,1060.8538461538465,101.3230769230769,2186
1053.4615384615386,90.84102564102565,1060.5435897435896,99.15384615384616,2209
1055.6615384615386,94.22051282051282,1057.1641025641024,96.95384615384614,2232
1052.6025641025642,89.96153846153844,1061.4230769230774,100.01282051282048,2255
1053.271794871795,91.14102564102565,1060.2435897435896,99.34358974358973,2278
1053.5076923076924,91.47435897435898,1059.9102564102566,99.10769230769228,2301
