TN,FN,TP,FP,sr
24115.153846153848,7139.141025641025,76242.08974358974,59478.61538461538,1
75528.21282051284,698.4384615384615,82682.7923076923,8065.55641025641,1670
76879.10512820513,629.1589743589744,82752.0717948718,6714.664102564102,3339
77454.5282051282,614.8256410256411,82766.40512820514,6139.241025641027,5008
77832.3641025641,599.171794871795,82782.05897435898,5761.405128205128,6677
78021.4923076923,579.6410256410256,82801.58974358976,5572.276923076923,8346
78212.94102564103,554.0999999999999,82827.13076923079,5380.828205128206,10015
78416.52820512821,549.7846153846154,82831.44615384616,5177.241025641027,11684
78524.75641025639,542.5410256410257,82838.68974358976,5069.012820512822,13353
78688.26153846155,532.2025641025641,82849.0282051282,4905.507692307693,15022
78786.09743589743,531.846153846154,82849.38461538461,4807.671794871796,16691
78853.57692307694,519.5461538461537,82861.68461538463,4740.192307692308,18360
78930.77692307692,516.8051282051283,82864.42564102559,4662.992307692307,20029
78992.23076923077,510.6897435897433,82870.54102564103,4601.538461538462,21698
79042.69230769231,508.46410256410263,82872.76666666666,4551.076923076923,23367
79139.04102564103,503.26153846153846,82877.96923076926,4454.728205128204,25036
79136.40256410255,493.99743589743593,82887.23333333335,4457.366666666667,26705
79179.8948717949,481.57948717948716,82899.65128205127,4413.874358974358,28374
79289.09743589745,484.24871794871797,82896.98205128203,4304.671794871793,30043
79286.78974358975,473.0128205128205,82908.21794871797,4306.979487179486,31712
79348.7487179487,473.78717948717957,82907.44358974356,4245.020512820513,33381
79374.60256410256,467.5666666666666,82913.66410256411,4219.166666666667,35050
79400.32564102566,464.36666666666673,82916.86410256413,4193.443589743588,36719
79421.45641025639,457.99743589743593,82923.2333333333,4172.312820512821,38388
79463.67179487179,456.9794871794873,82924.25128205131,4130.0974358974345,40057
79512.72564102565,456.75641025641033,82924.47435897436,4081.04358974359,41726
79537.67179487181,452.8615384615386,82928.36923076921,4056.0974358974336,43395
79576.44358974359,451.09230769230777,82930.13846153843,4017.3256410256413,45064
79635.50512820513,450.0205128205129,82931.21025641022,3958.2641025641037,46733
79639.19743589744,442.56410256410254,82938.66666666667,3954.571794871794,48402
79660.45128205129,438.0820512820513,82943.14871794872,3933.3179487179477,50071
79720.64358974357,441.4410256410256,82939.78974358973,3873.125641025641,51740
79718.67948717947,435.07948717948716,82946.15128205127,3875.0897435897436,53409
79747.2615384615,432.06410256410254,82949.16666666667,3846.5076923076936,55078
79796.11538461538,432.46410256410246,82948.76666666668,3797.653846153846,56747
79812.60512820513,428.19487179487186,82953.0358974359,3781.1641025641034,58416
79851.11794871793,430.2179487179486,82951.01282051284,3742.651282051284,60085
79866.34358974361,424.7615384615384,82956.46923076926,3727.42564102564,61754
79895.62564102565,422.4564102564103,82958.77435897433,3698.143589743589,63423
79908.24358974361,421.49487179487176,82959.73589743591,3685.52564102564,65092
79938.10769230769,420.7769230769231,82960.45384615383,3655.661538461539,66761
79961.86666666667,416.2025641025641,82965.02820512821,3631.9025641025646,68430
79984.80769230769,416.4076923076924,82964.82307692306,3608.9615384615377,70099
79993.07179487176,415.63076923076926,82965.59999999999,3600.6974358974376,71768
80027.13076923077,410.97692307692313,82970.25384615384,3566.6384615384613,73437
80048.75384615385,410.46923076923076,82970.76153846155,3545.015384615384,75106
80082.55897435897,411.41025641025647,82969.82051282049,3511.2102564102565,76775
80098.86153846151,410.0384615384614,82971.19230769234,3494.9076923076937,78444
80117.29999999999,411.43333333333334,82969.79743589743,3476.469230769231,80113
80137.91282051282,406.04871794871787,82975.18205128207,3455.85641025641,81782
80159.21538461537,404.31538461538463,82976.91538461538,3434.553846153847,83451
80170.39743589742,404.40000000000003,82976.83076923076,3423.371794871796,85120
80206.58974358974,405.7205128205129,82975.51025641023,3387.1794871794873,86789
80205.07692307694,400.78717948717934,82980.44358974362,3388.692307692307,88458
80255.47948717947,405.80000000000007,82975.43076923075,3338.2897435897435,90127
80280.10256410256,405.1410256410255,82976.08974358976,3313.6666666666665,91796
80269.0512820513,399.1717948717948,82982.05897435898,3324.717948717948,93465
80309.05128205128,400.90256410256404,82980.32820512823,3284.7179487179487,95134
80296.90256410258,394.6128205128206,82986.61794871793,3296.866666666666,96803
80324.77435897436,395.248717948718,82985.98205128204,3268.994871794872,98472
80364.62564102563,399.10512820512815,82982.12564102565,3229.1435897435904,100141
80375.3564102564,396.7948717948718,82984.43589743589,3218.412820512821,101810
80393.50512820511,398.3589743589744,82982.87179487178,3200.264102564103,103479
80410.90000000001,397.2333333333333,82983.99743589744,3182.869230769231,105148
80442.18974358973,395.876923076923,82985.35384615387,3151.579487179487,106817
80471.03589743588,397.8794871794872,82983.35128205128,3122.733333333334,108486
80481.49743589743,395.5358974358974,82985.69487179488,3112.271794871795,110155
80501.85641025638,395.1743589743587,82986.05641025647,3091.912820512821,111824
80518.67692307693,397.80512820512814,82983.42564102566,3075.092307692308,113493
80535.77948717949,395.98974358974357,82985.24102564104,3057.989743589743,115162
80555.61538461539,396.40256410256416,82984.82820512817,3038.153846153847,116831
80577.94871794873,397.3871794871794,82983.8435897436,3015.8205128205127,118500
80590.04102564103,395.25897435897434,82985.9717948718,3003.7282051282054,120169
80620.71025641025,395.71282051282054,82985.51794871793,2973.0589743589744,121838
80649.23333333335,398.3128205128205,82982.91794871794,2944.535897435898,123507
80655.0435897436,398.6384615384615,82982.5923076923,2938.7256410256405,125176
80674.42307692308,399.21025641025636,82982.02051282053,2919.346153846153,126845
80687.1,397.12051282051294,82984.11025641023,2906.669230769231,128514
80721.15641025642,401.41538461538465,82979.81538461537,2872.6128205128216,130183
80733.95128205129,401.4025641025642,82979.82820512817,2859.817948717949,131852
80778.95128205129,404.80256410256413,82976.42820512819,2814.817948717949,133521
80796.95897435897,405.9230769230769,82975.30769230769,2796.810256410256,135190
80803.92307692308,404.7692307692307,82976.46153846155,2789.8461538461543,136859
80839.60512820513,409.70000000000005,82971.53076923077,2754.1641025641034,138528
80846.57179487176,406.46666666666675,82974.76410256408,2747.1974358974367,140197
80889.43589743589,412.47948717948725,82968.75128205128,2704.333333333334,141866
80911.87948717948,412.4384615384615,82968.7923076923,2681.8897435897434,143535
80936.01538461538,416.63076923076926,82964.59999999999,2657.753846153846,145204
80957.22051282052,421.4871794871795,82959.74358974361,2636.5487179487172,146873
81002.25897435899,425.4179487179487,82955.81282051282,2591.5102564102567,148542
81024.79487179487,429.4102564102563,82951.82051282053,2568.9743589743593,150211
81051.39487179487,436.0897435897434,82945.14102564105,2542.3743589743585,151880
81088.47948717947,436.1102564102564,82945.12051282052,2505.2897435897435,153549
81136.45384615383,449.6256410256411,82931.6051282051,2457.315384615384,155218
81184.5512820513,455.49743589743593,82925.73333333334,2409.2179487179496,156887
81214.88974358974,460.5846153846156,82920.64615384614,2378.879487179487,158556
81262.54102564101,469.774358974359,82911.45641025643,2331.228205128205,160225
81349.96666666665,492.50512820512813,82888.72564102565,2243.8025641025647,161894
81419.55128205128,514.5461538461539,82866.68461538461,2174.2179487179487,163563
81543.29230769233,553.8358974358976,82827.39487179488,2050.4769230769234,165232
82113.07692307695,787.620512820513,82593.61025641028,1480.6923076923076,166901
